,max_temp,fit,diff%
1995-01-09,-1.3268908,-2.4872723595622297,0.46652773222679195
1995-01-10,1.1939497,-0.4417029268247141,3.703060421140618
1995-01-15,-0.055714305,-2.7483815831184053,0.9797283223579747
1995-01-22,6.173109,2.4672567766600206,1.502013212796644
1995-01-25,6.529412,1.5182739271105632,3.3005492461964963
1995-01-28,4.539915,0.7651546138410659,4.933330339666325
1995-02-01,7.650252,2.8211312467505287,1.7117674422977567
1995-02-07,9.294118,6.320083739317509,0.4705687947981081
1995-02-15,7.451512,4.8298470454185525,0.542804935606
1995-02-19,4.10084,1.8159771510776892,1.2582002693545369
1995-02-20,9.611259,4.725952149289219,1.0337191653315296
1995-02-24,3.044958,1.7113281897658421,0.7792952473018395
1995-02-28,5.9468064,0.7121289826967505,7.350743440179585
1995-03-05,0.9748739,-0.6598193750369532,2.4774860170768935
1995-03-10,6.5388236,3.1912526720825083,1.0489833543380054
1995-03-17,5.634033,2.875829086206167,0.959098762213819
1995-03-22,3.3257146,0.187965117625831,16.693254100399365
1995-03-23,8.775125,4.148543497789255,1.1152302138188877
1995-03-29,0.9084873,-0.5594171760378899,2.6239889636223044
1995-03-31,1.7129413,-0.8479316825756644,3.0201406836749567
1995-04-01,5.611764,2.551156155085126,1.1996944181471898
1995-04-02,11.881007,6.344065403759119,0.8727750170228477
1995-04-17,7.232185,5.03873351278398,0.43531799579860614
1995-04-18,10.90101,7.707018466341006,0.4144262930262219
1995-04-21,10.630336,4.019683073367605,1.644570632503727
1995-04-27,9.035799,6.040730385537547,0.4958123355616688
1995-05-01,14.048403,9.749793257919125,0.4408923773685433
1995-05-15,10.937816,4.8717546442372,1.245149122839566
1995-05-22,14.83042,10.209871080422609,0.4525569836863611
1995-06-25,17.01916,10.502961869890036,0.6204152245670095
1995-11-06,2.6960504,-0.540297126797876,5.989940297259634
1995-11-07,6.2982354,3.5660478983693924,0.766166803113407
1995-11-20,1.487311,-0.6939637073746177,3.143211510612127
1995-11-22,4.1315966,2.794672366267397,0.4783831604435261
1995-12-08,1.7315966,-0.5795139180861586,3.9880155334440075
1995-12-15,-0.907647,-3.201066102885493,0.7164547733500167
1995-12-16,2.0777311,0.09060870730750459,21.930810892776503
1995-12-20,4.438403,1.7618215803669202,1.5192126030453588
1995-12-30,-0.4918487,-2.523697677905467,0.8051079130812117
1995-12-31,0.94571424,0.4641038469453296,1.037721172815853
1996-01-01,2.9135296,1.6511658944269954,0.7645287153213586
1996-01-07,3.2795794,2.0465133216714833,0.6025204264674169
1996-01-21,1.1772269,0.10191869832726042,10.550646940901
1996-01-27,2.5634453,1.564882103389822,0.6381076402581667
1996-02-01,0.8526051,0.017869617958725215,46.712553587644486
1996-02-02,2.2610924,1.548430231941369,0.46024817763847176
1996-02-09,-0.98352945,-2.3457281999961452,0.580714658880414
1996-02-10,1.3998318,-0.11481523664172855,13.19203838092191
1996-02-16,0.96025217,-0.9284681980074367,2.034232694081657
1996-02-24,-0.65857136,-4.887689033347302,0.8652591525356506
1996-02-25,4.133193,0.5543574908176563,6.455826040982946
1996-03-05,1.3968066,-1.0860285200273552,2.286160144002915
1996-03-08,3.451849,1.8128491775106497,0.9041015803116199
1996-03-11,3.2599158,2.2517374063672158,0.4477335676383942
1996-03-13,0.582353,-3.1141377957133614,1.1870029632838057
1996-03-14,5.448824,1.5672215314696665,2.4767413664380666
1996-03-23,12.652016,5.55118966597808,1.2791539196681296
1996-03-31,2.7109241,1.9067590639936434,0.42174446669818366
1996-04-05,6.96294,1.176392233570919,4.918893390624116
1996-05-14,12.791261,8.457617561001488,0.5123952610816173
1996-05-21,12.278991,8.766288285303007,0.4007057885753765
1996-05-24,20.117981,13.535665807120662,0.4862941538086625
1996-05-29,17.103193,11.176826851537147,0.5302369366783969
1996-07-03,18.389328,12.667704085455078,0.4516701589235982
1996-10-31,9.647731,5.451581359740856,0.7697123441243393
1996-11-11,8.777647,6.10333219028702,0.4381729102672081
1996-11-25,1.3137816,-1.1708085368788357,2.1221148272238133
1996-11-29,0.3915125,-1.2123783950785967,1.322929305528679
1996-12-02,3.8960507,1.7449756645239347,1.2327249432831129
1996-12-04,4.5181518,2.7227043336764503,0.6594353284039794
1996-12-16,3.677143,2.6131635569651515,0.4071614794729305
1996-12-18,6.915378,4.926728720242091,0.4036449917176834
1997-01-03,-0.437479,-1.7519485413461133,0.750290046175341
1997-01-12,0.01092437,-0.2711445041273812,1.0402898449416713
1997-01-14,2.0731094,0.94499296130091,1.193782888602182
1997-01-21,3.8367226,2.5959643574166105,0.4779565834251742
1997-02-05,3.1436136,2.1831654934689197,0.439933704656546
1997-02-07,7.350336,3.8340611625081724,0.9171149763350793
1997-02-17,4.225378,2.6001152836368746,0.6250733431283999
1997-02-20,6.8465548,4.330332787482626,0.5810689598627112
1997-02-28,8.848655,2.3083099889129297,2.8333910044622916
1997-03-07,8.358824,5.880252569916881,0.42150760989561903
1997-03-21,5.1332765,3.0404072495375507,0.6883516059684796
1997-03-26,9.472774,5.064391430755538,0.8704663100118446
1997-03-30,4.884285,1.8990735856303989,1.5719303401943687
1997-03-31,9.710757,5.517205632882766,0.7600861562378058
1997-04-13,8.332353,5.755844215020551,0.447633453403825
1997-04-18,10.856891,6.456442728351797,0.6815592014361929
1997-04-23,9.299328,5.449726417242018,0.7063843463628353
1997-04-28,11.466387,7.7887412342508275,0.47217457226859044
1997-05-01,12.05748,8.546965707476406,0.41073221434025764
1997-05-09,8.361934,5.746149501141358,0.4552238340700998
1997-06-02,14.690251,8.799946076964018,0.6693569735453391
