,AreaId,Geometry
17596,229986,"MULTIPOLYGON(((-74.0151229418823 40.7531075023656,-74.0142594020014 40.7542405258774,-74.0125323222396 40.7542405258774,-74.0116687823588 40.7531075023656,-74.0125323222396 40.7519744595455,-74.0142594020014 40.7519744595455,-74.0151229418823 40.7531075023656)))"
17597,229987,"MULTIPOLYGON(((-74.0151229418823 40.7553735300808,-74.0142594020014 40.7565065149757,-74.0125323222396 40.7565065149757,-74.0116687823588 40.7553735300808,-74.0125323222396 40.7542405258774,-74.0142594020014 40.7542405258774,-74.0151229418823 40.7553735300808)))"
17598,229988,"MULTIPOLYGON(((-74.0151229418823 40.7576394805619,-74.0142594020014 40.7587724268394,-74.0125323222396 40.7587724268394,-74.0116687823588 40.7576394805619,-74.0125323222396 40.7565065149757,-74.0142594020014 40.7565065149757,-74.0151229418823 40.7576394805619)))"
17759,230149,"MULTIPOLYGON(((-74.0125323222396 40.6998336195439,-74.0116687823588 40.7009675504213,-74.009941702597 40.7009675504213,-74.0090781627161 40.6998336195439,-74.009941702597 40.6986996693636,-74.0116687823588 40.6986996693636,-74.0125323222396 40.6998336195439)))"
17760,230150,"MULTIPOLYGON(((-74.0125323222396 40.7021014619957,-74.0116687823588 40.703235354267,-74.009941702597 40.703235354267,-74.0090781627161 40.7021014619957,-74.009941702597 40.7009675504213,-74.0116687823588 40.7009675504213,-74.0125323222396 40.7021014619957)))"
17761,230151,"MULTIPOLYGON(((-74.0125323222396 40.7043692272351,-74.0116687823588 40.7055030808998,-74.009941702597 40.7055030808998,-74.0090781627161 40.7043692272351,-74.009941702597 40.703235354267,-74.0116687823588 40.703235354267,-74.0125323222396 40.7043692272351)))"
17762,230152,"MULTIPOLYGON(((-74.0125323222396 40.706636915261,-74.0116687823588 40.7077707303186,-74.009941702597 40.7077707303186,-74.0090781627161 40.706636915261,-74.009941702597 40.7055030808998,-74.0116687823588 40.7055030808998,-74.0125323222396 40.706636915261)))"
17763,230153,"MULTIPOLYGON(((-74.0125323222396 40.7089045260726,-74.0116687823588 40.7100383025227,-74.009941702597 40.7100383025227,-74.0090781627161 40.7089045260726,-74.009941702597 40.7077707303186,-74.0116687823588 40.7077707303186,-74.0125323222396 40.7089045260726)))"
17764,230154,"MULTIPOLYGON(((-74.0125323222396 40.7111720596689,-74.0116687823588 40.712305797511,-74.009941702597 40.712305797511,-74.0090781627161 40.7111720596689,-74.009941702597 40.7100383025227,-74.0116687823588 40.7100383025227,-74.0125323222396 40.7111720596689)))"
17765,230155,"MULTIPOLYGON(((-74.0125323222396 40.713439516049,-74.0116687823588 40.7145732152828,-74.009941702597 40.7145732152828,-74.0090781627161 40.713439516049,-74.009941702597 40.712305797511,-74.0116687823588 40.712305797511,-74.0125323222396 40.713439516049)))"
17766,230156,"MULTIPOLYGON(((-74.0125323222396 40.7157068952121,-74.0116687823588 40.7168405558369,-74.009941702597 40.7168405558369,-74.0090781627161 40.7157068952121,-74.009941702597 40.7145732152828,-74.0116687823588 40.7145732152828,-74.0125323222396 40.7157068952121)))"
17767,230157,"MULTIPOLYGON(((-74.0125323222396 40.7179741971571,-74.0116687823588 40.7191078191726,-74.009941702597 40.7191078191726,-74.0090781627161 40.7179741971571,-74.009941702597 40.7168405558369,-74.0116687823588 40.7168405558369,-74.0125323222396 40.7179741971571)))"
17768,230158,"MULTIPOLYGON(((-74.0125323222396 40.7202414218832,-74.0116687823588 40.7213750052889,-74.009941702597 40.7213750052889,-74.0090781627161 40.7202414218832,-74.009941702597 40.7191078191726,-74.0116687823588 40.7191078191726,-74.0125323222396 40.7202414218832)))"
17769,230159,"MULTIPOLYGON(((-74.0125323222396 40.7225085693895,-74.0116687823588 40.7236421141849,-74.009941702597 40.7236421141849,-74.0090781627161 40.7225085693895,-74.009941702597 40.7213750052889,-74.0116687823588 40.7213750052889,-74.0125323222396 40.7225085693895)))"
17770,230160,"MULTIPOLYGON(((-74.0125323222396 40.7247756396749,-74.0116687823588 40.7259091458596,-74.009941702597 40.7259091458596,-74.0090781627161 40.7247756396749,-74.009941702597 40.7236421141849,-74.0116687823588 40.7236421141849,-74.0125323222396 40.7247756396749)))"
17771,230161,"MULTIPOLYGON(((-74.0125323222396 40.7270426327387,-74.0116687823588 40.7281761003121,-74.009941702597 40.7281761003121,-74.0090781627161 40.7270426327387,-74.009941702597 40.7259091458596,-74.0116687823588 40.7259091458596,-74.0125323222396 40.7270426327387)))"
17772,230162,"MULTIPOLYGON(((-74.0125323222396 40.7293095485798,-74.0116687823588 40.7304429775416,-74.009941702597 40.7304429775416,-74.0090781627161 40.7293095485798,-74.009941702597 40.7281761003121,-74.0116687823588 40.7281761003121,-74.0125323222396 40.7293095485798)))"
17773,230163,"MULTIPOLYGON(((-74.0125323222396 40.7315763871974,-74.0116687823588 40.7327097775471,-74.009941702597 40.7327097775471,-74.0090781627161 40.7315763871974,-74.009941702597 40.7304429775416,-74.0116687823588 40.7304429775416,-74.0125323222396 40.7315763871974)))"
17774,230164,"MULTIPOLYGON(((-74.0125323222396 40.7338431485906,-74.0116687823588 40.7349765003277,-74.009941702597 40.7349765003277,-74.0090781627161 40.7338431485906,-74.009941702597 40.7327097775471,-74.0116687823588 40.7327097775471,-74.0125323222396 40.7338431485906)))"
